L1,L2,Score,cluster_number
pb4,pt4,0.28941505052407,2
pb3,p14,0.289913304177163,2
p14,pb3,0.289913304177163,2
pb8,p22,0.291256804882258,2
p22,pb8,0.291256804882258,2
ps2,pb5,0.291735011548891,2
pb5,ps2,0.291735011548891,2
p25,p23,0.292005954574773,2
p23,p25,0.292005954574773,2
ps2,ps1,0.292164234725144,2
ps1,ps2,0.292164234725144,2
ps5,ps3,0.292435246481139,2
ps3,ps5,0.292435246481139,2
pb7,pb3,0.295318102322492,2
pb3,pb7,0.295318102322492,2
p23,p10,0.296146771696723,2
p10,p23,0.296146771696723,2
ps2,p20,0.296222430783671,2
p20,ps2,0.296222430783671,2
p25,p24,0.29629471738077,2
p24,p25,0.29629471738077,2
pt5,p13,0.296831720145654,2
p13,pt5,0.296831720145654,2
p17,p16,0.297145050095257,2
p16,p17,0.297145050095257,2
pb4,p10,0.297188880390841,2
p10,pb4,0.297188880390841,2
pt4,pb1,0.297214301381883,2
pb1,pt4,0.297214301381883,2
pt4,pb5,0.297949393283794,2
pb5,pt4,0.297949393283794,2
p16,p13,0.29927599550618,2
p13,p16,0.29927599550618,2
p18,p10,0.300281293952181,2
p10,p18,0.300281293952181,2
pt5,p22,0.301615008413141,2
p22,pt5,0.301615008413141,2
p25,p10,0.302486079523175,4
p10,p25,0.302486079523175,4
pt1,pb7,0.302742408944732,4
pb7,pt1,0.302742408944732,4
pt2,pb6,0.303471357409714,4
pb6,pt2,0.303471357409714,4
pt2,pb5,0.304094851246022,4
pb5,pt2,0.304094851246022,4
p21,p19,0.304149399828523,4
p19,p21,0.304149399828523,4
pt4,p11,0.304262325784653,4
p11,pt4,0.304262325784653,4
pb4,p16,0.304433528362693,4
p16,pb4,0.304433528362693,4
pt4,p20,0.304433837844628,4
p20,pt4,0.304433837844628,4
ps2,pt2,0.304988873978701,4
pb8,pb6,0.305362643671816,4
pb6,pb8,0.305362643671816,4
pb5,p12,0.306031106635338,4
p12,pb5,0.306031106635338,4
p23,p20,0.306863440721082,4
p20,p23,0.306863440721082,4
p18,p16,0.307416511405803,4
p16,p18,0.307416511405803,4
ps2,p22,0.308562742779938,4
p22,ps2,0.308562742779938,4
pb7,p21,0.308832809532248,4
p21,pb7,0.308832809532248,4
pb7,p10,0.308883888117659,4
p10,pb7,0.308883888117659,4
pt2,ps2,0.309042223599188,4
ps2,pb4,0.309708607942191,4
pb4,ps2,0.309708607942191,4
ps3,p10,0.309788654060068,4
p10,ps3,0.309788654060068,4
p21,p12,0.30989919595482,4
p12,p21,0.30989919595482,4
pt5,pb2,0.310409806032277,4
pb2,pt5,0.310409806032277,4
pt5,pb4,0.310649269474178,4
pb4,pt5,0.310649269474178,4
pt4,pb2,0.311127404212881,4
pb2,pt4,0.311127404212881,4
pt1,ps2,0.311187508467689,4
ps2,pt1,0.311187508467689,4
pb5,p16,0.311274011785118,4
p16,pb5,0.311274011785118,4
ps3,p21,0.311493822538377,4
p21,ps3,0.311493822538377,4
pb8,p23,0.311815774178726,4
p23,pb8,0.311815774178726,4
p21,p11,0.313036177125543,4
p11,p21,0.313036177125543,4
ps3,pb4,0.313040168730872,4
pb4,ps3,0.313040168730872,4
p15,p12,0.31304194232128,4
p12,p15,0.31304194232128,4
p13,p10,0.313276976628544,4
p10,p13,0.313276976628544,4
pb2,p10,0.313306374403911,4
p10,pb2,0.313306374403911,4
p21,p13,0.313602396309516,4
p13,p21,0.313602396309516,4
p16,p12,0.313906390639066,4
p12,p16,0.313906390639066,4
p24,p23,0.314024962151864,4
p23,p24,0.314024962151864,4
ps2,p21,0.31476760149049,4
p21,ps2,0.31476760149049,4
p23,p22,0.314876395225944,4
p22,p23,0.314876395225944,4
p23,p13,0.315116602024834,4
p13,p23,0.315116602024834,4
bgp,bcc,0.315125795747789,4
bcc,bgp,0.315125795747789,4
pb9,pb7,0.315205930280858,4
pb7,pb9,0.315205930280858,4
ps4,p23,0.315501343914724,4
p23,ps4,0.315501343914724,4
pb9,p10,0.315547861570089,4
p10,pb9,0.315547861570089,4
p24,p21,0.316613241032981,4
p21,p24,0.316613241032981,4
pt5,pb1,0.316781623544834,4
pb1,pt5,0.316781623544834,4
pb7,p16,0.316907454762315,4
p16,pb7,0.316907454762315,4
pb3,p10,0.3171001746507,4
p10,pb3,0.3171001746507,4
pb1,p10,0.317164470092803,4
p10,pb1,0.317164470092803,4
pb7,p19,0.317185216120276,4
p19,pb7,0.317185216120276,4
ps3,pb9,0.318055094590111,4
pb9,ps3,0.318055094590111,4
p20,p12,0.318100358422941,4
p12,p20,0.318100358422941,4
pb4,p23,0.318267369058984,4
p23,pb4,0.318267369058984,4
ps3,p17,0.318976616688126,4
p17,ps3,0.318976616688126,4
pt5,pb6,0.319388738612692,4
pb6,pt5,0.319388738612692,4
ps3,pb1,0.319427059401392,4
pb1,ps3,0.319427059401392,4
pt2,pb4,0.319667251535282,4
pb4,pt2,0.319667251535282,4
pt5,pb5,0.31984191452137,4
pb5,pt5,0.31984191452137,4
pb6,p21,0.320316488004084,4
p21,pb6,0.320316488004084,4
pb8,p13,0.320601331119972,4
p13,pb8,0.320601331119972,4
pt2,pb7,0.320642787414584,4
pb7,pt2,0.320642787414584,4
ps3,p13,0.320677028492404,4
p13,ps3,0.320677028492404,4
pb6,p10,0.320677071201181,4
p10,pb6,0.320677071201181,4
p24,p16,0.321511618885484,4
p16,p24,0.321511618885484,4
p23,p11,0.321905776935679,4
p11,p23,0.321905776935679,4
p11,p10,0.322137546756896,4
p10,p11,0.322137546756896,4
ps2,p18,0.322193903216072,4
p18,ps2,0.322193903216072,4
pb2,p12,0.322477108413101,4
p12,pb2,0.322477108413101,4
pb4,p21,0.322795323659954,4
p21,pb4,0.322795323659954,4
p25,p21,0.322865734082888,4
p21,p25,0.322865734082888,4
pt2,p20,0.323540028563806,4
p20,pt2,0.323540028563806,4
ps2,pb1,0.323879200908667,4
pb1,ps2,0.323879200908667,4
pb1,p16,0.324585959370064,4
p16,pb1,0.324585959370064,4
pt2,pb2,0.324845387566385,4
pb2,pt2,0.324845387566385,4
pb2,p23,0.324946237843411,4
p23,pb2,0.324946237843411,4
pb8,p20,0.324962743337796,4
p20,pb8,0.324962743337796,4
pb9,p12,0.325017369073514,4
p12,pb9,0.325017369073514,4
pb3,p17,0.325256405017775,4
p17,pb3,0.325256405017775,4
pb8,pb7,0.325491763098776,4
pb7,pb8,0.325491763098776,4
pt2,p13,0.326212111781914,4
p13,pt2,0.326212111781914,4
pb8,pb5,0.326420839723501,4
pb5,pb8,0.326420839723501,4
p21,p20,0.327179846851986,4
p20,p21,0.327179846851986,4
pt2,pb1,0.327619942083433,4
pb1,pt2,0.327619942083433,4
ps4,p24,0.327676646643392,4
p24,ps4,0.327676646643392,4
pb8,p19,0.327744054908882,4
p19,pb8,0.327744054908882,4
p21,p14,0.327782805429864,4
p14,p21,0.327782805429864,4
pt5,p20,0.327994734532691,4
p20,pt5,0.327994734532691,4
pt4,p14,0.329097702569171,4
p14,pt4,0.329097702569171,4
pb6,p23,0.329446355905806,4
p23,pb6,0.329446355905806,4
pb3,p23,0.329753388926216,4
p23,pb3,0.329753388926216,4
pb8,pb4,0.330235726816931,4
pb4,pb8,0.330235726816931,4
pt1,p22,0.330313325783316,4
p22,pt1,0.330313325783316,4
pb3,p25,0.330655809859156,4
p25,pb3,0.330655809859156,4
pb6,p16,0.33139507765979,4
p16,pb6,0.33139507765979,4
ps2,pb7,0.33198294846788,4
pb7,ps2,0.33198294846788,4
p12,p11,0.332162273868948,4
p11,p12,0.332162273868948,4
p15,p10,0.33262303241461,4
p10,p15,0.33262303241461,4
ps2,p25,0.332652441083126,4
p25,ps2,0.332652441083126,4
pt4,p18,0.333249674514911,4
p18,pt4,0.333249674514911,4
pt1,p11,0.333400671307808,4
p11,pt1,0.333400671307808,4
ps2,p17,0.333469363959659,4
p17,ps2,0.333469363959659,4
