L1,L2,Score,cluster_number,distance_Scores
wne,pt5,10.188821898826,1,0.581727026892915
p20,p21,10.189251041937,1,0.581760192586562
p21,p20,10.189251041937,1,0.581760192586562
p25,ps4,10.1898864394634,1,0.581809298349102
ps4,p25,10.1898864394634,1,0.581809298349102
p25,pt1,10.1909861573767,1,0.581894288429277
pt1,p25,10.1909861573767,1,0.581894288429277
pb1,pt5,10.191699668715,1,0.581949431102788
pt5,pb1,10.191699668715,1,0.581949431102788
p16,pb2,10.19475212984,1,0.582185336067695
pb2,p16,10.19475212984,1,0.582185336067695
p23,pb5,10.2210297685285,1,0.584216164693775
pb5,p23,10.2210297685285,1,0.584216164693775
pb3,pt1,10.2329175493579,1,0.585134894336689
pt1,pb3,10.2329175493579,1,0.585134894336689
pb6,wne,10.2329688970893,1,0.585138862670528
wne,pb6,10.2329688970893,1,0.585138862670528
p21,pb1,10.2348312658413,1,0.585282793098171
pb1,p21,10.2348312658413,1,0.585282793098171
p23,pb6,10.2468904704614,1,0.586214770976418
pb6,p23,10.2468904704614,1,0.586214770976418
pb9,pt2,10.2540503995081,1,0.586768115553574
pt2,pb9,10.2540503995081,1,0.586768115553574
p10,pb4,10.254176180418,1,0.586777836346049
pb4,p10,10.254176180418,1,0.586777836346049
p10,ps5,10.2673504393893,1,0.5877959895585
ps5,p10,10.2673504393893,1,0.5877959895585
p21,pt5,10.2745708995961,1,0.588354012197263
pt5,p21,10.2745708995961,1,0.588354012197263
p10,ps4,10.2752263979827,1,0.588404671425196
ps4,p10,10.2752263979827,1,0.588404671425196
p21,pb5,10.2849744100878,1,0.589158032191933
pb5,p21,10.2849744100878,1,0.589158032191933
p23,pb4,10.2890733655699,1,0.589474813932818
pb4,p23,10.2890733655699,1,0.589474813932818
p10,pt1,10.2896806568519,1,0.589521747545631
pt1,p10,10.2896806568519,1,0.589521747545631
pb4,pt5,10.2901713033057,1,0.589559666434595
pt5,pb4,10.2901713033057,1,0.589559666434595
p13,p16,10.2986169865624,1,0.590212378633276
p16,p13,10.2986169865624,1,0.590212378633276
p16,pb6,10.3008769948719,1,0.590387040048805
pb6,p16,10.3008769948719,1,0.590387040048805
p14,ps3,10.3034788278507,1,0.590588118880745
ps3,p14,10.3034788278507,1,0.590588118880745
p13,pt4,10.3119099033896,1,0.591239702143458
pt4,p13,10.3119099033896,1,0.591239702143458
p14,pb9,10.3172829893874,1,0.591654953185763
pb9,p14,10.3172829893874,1,0.591654953185763
p18,p23,10.3218562771113,1,0.592008392995751
p23,p18,10.3218562771113,1,0.592008392995751
p10,p20,10.3285612817448,1,0.592526579409269
p20,p10,10.3285612817448,1,0.592526579409269
p13,ps2,10.3286988660752,1,0.592537212411724
ps2,p13,10.3286988660752,1,0.592537212411724
p21,pb6,10.3335667075424,1,0.592913416374188
pb6,p21,10.3335667075424,1,0.592913416374188
p11,pt4,10.3371020742844,1,0.593186641988881
pt4,p11,10.3371020742844,1,0.593186641988881
p14,pb3,10.3381725888012,1,0.593269375127544
pb3,p14,10.3381725888012,1,0.593269375127544
p13,pt2,10.344165148483,1,0.593732501281669
pt2,p13,10.344165148483,1,0.593732501281669
p23,ps5,10.3446013593098,1,0.593766213193328
ps5,p23,10.3446013593098,1,0.593766213193328
p16,pt5,10.3458152908522,1,0.593860030105708
pt5,p16,10.3458152908522,1,0.593860030105708
p15,pt2,10.3485384544097,1,0.594070485792828
pt2,p15,10.3485384544097,1,0.594070485792828
p14,p16,10.3497749284365,1,0.594166044867933
p16,p14,10.3497749284365,1,0.594166044867933
p15,p21,10.3502724887965,1,0.594204498087961
p21,p15,10.3502724887965,1,0.594204498087961
p25,pb3,10.3504134819823,1,0.594215394538787
pb3,p25,10.3504134819823,1,0.594215394538787
pb2,pt4,10.3513881648918,1,0.594290721472742
pt4,pb2,10.3513881648918,1,0.594290721472742
p24,ps3,10.3524516173456,1,0.594372908830261
ps3,p24,10.3524516173456,1,0.594372908830261
p12,p25,10.3536411660718,1,0.594464841352582
p25,p12,10.3536411660718,1,0.594464841352582
p23,pt1,10.3546023517999,1,0.594539125176739
