L1,L2,Score,Cluster_number
eg2,pm1,0.503523829229766,2
pm1,eg2,0.503523829229767,2
nea,itf,0.504655426891898,2
itf,nea,0.504655426891899,2
sc1,ita,0.505667147764934,2
ita,sc1,0.505667147764938,2
ve1,glg,0.505711387091978,2
glg,ve1,0.505711387091983,2
ve1,pm3,0.505958975476369,2
pm3,ve1,0.505958975476378,2
lm1,pm1,0.506628379011231,2
pm1,lm1,0.506628379011235,2
eg2,ito,0.50788602262173,2
ito,eg2,0.507886022621739,2
ve1,itf,0.508279020873072,2
itf,ve1,0.508279020873077,2
glg,ita,0.508315030141659,2
ita,glg,0.508315030141664,2
sc1,itf,0.508598393242104,2
itf,sc1,0.508598393242112,2
itf,li1,0.50869826185447,2
li1,itf,0.508698261854474,2
ita,eg4,0.508925722989466,2
eg4,ita,0.508925722989466,2
ca5,glg,0.509921292101773,2
glg,ca5,0.509921292101775,2
ve1,pm2,0.510028893633879,2
pm2,ve1,0.510028893633885,2
sc1,nea,0.511600895456781,2
nea,sc1,0.511600895456787,2
ve2,fur,0.513615632572598,2
fur,ve2,0.513615632572605,2
glg,ito,0.51364799100855,2
ito,glg,0.513647991008557,2
eg4,ll2,0.513754998047776,2
ll2,eg4,0.513754998047777,2
li1,ita,0.513803316524507,2
ita,li1,0.513803316524508,2
nea,ita,0.513961076288578,2
ita,nea,0.513961076288581,2
lm2,ll2,0.514173487419495,2
ll2,lm2,0.514173487419505,2
fur,ll2,0.514704616615491,2
ll2,fur,0.514704616615493,2
ve3,ca4,0.514768102571743,2
ca4,ve3,0.514768102571744,2
nea,ito,0.515013734665902,2
ito,nea,0.515013734665909,2
ve3,ca5,0.515497814174,2
ca5,ve3,0.515497814174001,2
ve1,li3,0.516051909453891,2
li3,ve1,0.516051909453896,2
itg,eg4,0.516346598860527,2
eg4,itg,0.516346598860529,2
itf,li2,0.518934529035919,2
li2,itf,0.51893452903592,2
ve3,sc3,0.519401197900124,2
sc3,ve3,0.51940119790013,2
itf,sc4,0.519471849705518,2
sc4,itf,0.51947184970552,2
eg2,itf,0.519555363255669,2
itf,eg2,0.519555363255673,2
eg2,pm3,0.520092654583156,2
pm3,eg2,0.520092654583158,2
ast,ca6,0.520110705224618,2
ca6,ast,0.520110705224621,2
eg3,itf,0.520298062368514,2
itf,eg3,0.520298062368515,2
eg1,pm4,0.5203602282865,2
pm4,eg1,0.520360228286502,2
ve1,pm1,0.520742904034132,2
pm1,ve1,0.520742904034139,2
eg2,sc3,0.52124467363853,2
sc3,eg2,0.521244673638535,2
ca6,glg,0.521615064251192,2
glg,ca6,0.521615064251195,2
ast,ca5,0.522301282742195,2
ca5,ast,0.522301282742199,2
eg3,li1,0.522316865455062,2
li1,eg3,0.522316865455066,2
lm2,li2,0.522477477084246,2
li2,lm2,0.522477477084251,2
eg1,pm3,0.523243910576364,2
pm3,eg1,0.523243910576366,2
ve3,li2,0.523732289087538,2
li2,ve3,0.523732289087543,2
ve3,lm1,0.524492935865262,2
lm1,ve3,0.524492935865262,2
pm4,ll2,0.524500355488944,2
ll2,pm4,0.52450035548895,2
eg3,ito,0.524961339927318,2
ito,eg3,0.524961339927326,2
ve3,ca6,0.52525896901056,2
ca6,ve3,0.525258969010562,2
ve2,glg,0.525723554708357,2
glg,ve2,0.525723554708359,2
nea,sc4,0.527055786064823,2
sc4,nea,0.527055786064824,2
ve1,sc3,0.52756869971246,2
sc3,ve1,0.527568699712469,2
nea,itg,0.528157363541267,2
itg,nea,0.528157363541268,2
ve2,ca5,0.528351598442946,2
ca5,ve2,0.528351598442948,2
ve3,glg,0.528514054653201,2
glg,ve3,0.528514054653202,2
pm5,eg1,0.529003464278738,2
eg1,pm5,0.529003464278743,2
sc1,ito,0.530734135700117,2
ito,sc1,0.530734135700124,2
ve1,eg1,0.530910765250691,2
eg1,ve1,0.530910765250693,2
ve1,ll2,0.531524080984516,2
ll2,ve1,0.531524080984524,2
eg1,pm1,0.53173962075765,2
pm1,eg1,0.531739620757651,2
spa,ca6,0.531891404337483,2
ca6,spa,0.531891404337485,2
ve3,fur,0.532378926956256,2
fur,ve3,0.532378926956262,2
ve2,ca4,0.533068522484199,2
ca4,ve2,0.533068522484199,2
ve2,li2,0.534451564312493,2
li2,ve2,0.534451564312496,2
sc1,itg,0.534701045312176,2
itg,sc1,0.534701045312181,2
pm4,ita,0.534921616904316,2
ita,pm4,0.53492161690432,2
pm2,ll2,0.53502422147965,2
