L1,L2,Score_distance
fur,rup,0.854223031350133
dlm,fra,0.854091534872927
fra,dlm,0.854091534872925
pm4,fra,0.853669821581049
win,eg2,0.852971113869342
eg2,win,0.852971113869341
ruo,ve3,0.852430093263669
ve3,ruo,0.852430093263668
eg2,pr2,0.852373437124462
pr2,eg2,0.852373437124461
pm3,rup,0.852280014703516
rup,pm3,0.852280014703516
ron,fro,0.85226711728348
fro,ron,0.852267117283479
lat,li3,0.852098415589216
li3,lat,0.852098415589216
sc2,rup,0.852023545269661
rup,sc2,0.852023545269658
itg,pr2,0.851384703207761
pr2,itg,0.851384703207759
ca4,pr2,0.851344144503041
pr2,ca4,0.851344144503041
sc1,pr2,0.851331880808134
pr2,sc1,0.851331880808131
li3,pr2,0.851263182663722
pr2,li3,0.851263182663718
pcd,sc3,0.85118934308772
sc3,pcd,0.85118934308772
sc4,pr2,0.851155610009658
pr2,sc4,0.851155610009649
pr2,ca2,0.849949292015481
ca2,pr2,0.84994929201548
pr2,ca5,0.849802298996112
ca5,pr2,0.849802298996111
ro1,win,0.849074839681557
win,ro1,0.849074839681557
sc3,rup,0.849040111508333
rup,sc3,0.849040111508331
ve1,pr2,0.848895703636729
pr2,ve1,0.848895703636728
ruq,sc4,0.848828754945096
sc4,ruq,0.848828754945096
ruo,li1,0.848622621202408
li1,ruo,0.848622621202407
pr2,ca6,0.847686568949343
ca6,pr2,0.84768656894934
lat,ll1,0.84748027673545
ll1,lat,0.847480276735446
fro,ruq,0.847217317365635
ruq,fro,0.847217317365629
pcd,ve2,0.846760225638377
ve2,pcd,0.846760225638376
qbb,ca3,0.846218573823188
ca3,qbb,0.846218573823177
por,fra,0.846087354212565
fra,por,0.846087354212562
glg,pr2,0.84607792008808
pr2,glg,0.84607792008808
li2,fra,0.845460611255072
fra,li2,0.845460611255069
ve1,win,0.844825689363621
win,ve1,0.844825689363619
win,ca3,0.84460125092768
ca3,win,0.844601250927677
ca4,win,0.844353294735143
win,ca4,0.844353294735142
rup,spa,0.844289010544485
spa,rup,0.844289010544483
ruo,itg,0.844091611091734
itg,ruo,0.844091611091734
src,rup,0.843977840585078
rup,src,0.843977840585075
sc2,fra,0.843527768413322
fra,sc2,0.843527768413314
ca5,win,0.843367481344881
win,ca5,0.843367481344879
ca6,win,0.843329159343002
win,ca6,0.843329159343
pm1,ron,0.843321870084149
ron,pm1,0.843321870084149
por,rup,0.842727107404261
rup,por,0.842727107404258
ro2,ruq,0.841862670021183
ruq,ro2,0.841862670021183
lat,pm5,0.841366704455201
pm5,lat,0.841366704455197
ron,ro2,0.840935971716058
ro2,ron,0.840935971716054
pr2,ro1,0.840218849072192
ro1,pr2,0.84021884907219
ruq,pm4,0.839952743400906
qbb,pr1,0.839759424979548
pr1,qbb,0.839759424979546
src,fra,0.83946123131092
fra,src,0.839461231310917
ve1,ruq,0.839401601790695
ruq,ve1,0.83940160179069
ruq,ast,0.839390661904971
ast,ruq,0.839390661904969
fra,eg4,0.839375496946611
eg4,fra,0.83937549694661
ve3,win,0.838985251692809
win,ve3,0.838985251692805
ca5,rup,0.83873935760732
rup,ca5,0.838739357607315
pm1,win,0.838642651384804
win,pm1,0.838642651384801
qbb,pm4,0.838351923239237
pm1,pr2,0.838156769341105
pr2,pm1,0.838156769341105
eg4,ruq,0.838068813205594
ruq,eg4,0.83806881320559
ca4,rup,0.8379963402315
rup,ca4,0.837996340231496
eg3,pr2,0.837886951610844
pr2,eg3,0.837886951610842
pm2,ruq,0.837289893069321
ruq,pm2,0.837289893069321
fra,eg1,0.837162417585912
eg1,fra,0.837162417585911
ron,lm2,0.837076415251375
lm2,ron,0.837076415251373
ca6,rup,0.837021103475345
rup,ca6,0.837021103475339
lat,pm3,0.836982325772989
pm3,lat,0.836982325772986
qbb,ro3,0.836957686142764
ro3,qbb,0.836957686142757
ron,pm5,0.836901809762055
pm5,ron,0.836901809762049
ast,fra,0.836562531982012
fra,ast,0.836562531982012
pm5,win,0.836167092168241
win,pm5,0.83616709216824
win,pm4,0.835785679036676
ca2,rup,0.835326218782955
rup,ca2,0.835326218782953
qbb,fur,0.835324041584722
fur,qbb,0.835324041584721
sro,ro3,0.835233862960973
ro3,sro,0.835233862960969
li1,pr2,0.834859864005574
pr2,li1,0.834859864005571
lat,ca3,0.834682901167294
ca3,lat,0.834682901167284
ruo,ito,0.834207744561375
ito,ruo,0.834207744561374
ca2,win,0.833891340681305
win,ca2,0.833891340681305
pr2,ca1,0.833564547985526
ca1,pr2,0.833564547985523
pcd,pm5,0.833389788690208
pm5,pcd,0.833389788690205
fra,ll1,0.8333601511437
ll1,fra,0.833360151143697
pm4,ca3,0.833045630880144
qbb,rup,0.832926734202491
rup,qbb,0.832926734202486
ruq,sc2,0.832725579728043
sc2,ruq,0.832725579728042
pm5,ast,0.832716758688114
eg4,pr2,0.832646882488336
pr2,eg4,0.832646882488335
ro4,rup,0.832534556771964
rup,ro4,0.832534556771962
lat,pm2,0.832370504545714
pm2,lat,0.832370504545711
por,ruq,0.832354723282952
ruq,por,0.832354723282952
eg2,ruq,0.83227914885003
ruq,eg2,0.83227914885003
rup,li1,0.831909092781667
li1,rup,0.831909092781666
sro,ll1,0.831821629082886
ll1,sro,0.831821629082881
ca6,fra,0.831685682731355
fra,ca6,0.831685682731355
eg3,rup,0.831672071040932
rup,eg3,0.831672071040926
sro,ro2,0.83120894473445
ro2,sro,0.831208944734448
ito,pr2,0.831106130790758
pr2,ito,0.831106130790755
fra,eg2,0.830980676276194
eg2,fra,0.83098067627619
fur,pr2,0.830881087801011
pr2,fur,0.830881087801007
pm4,fro,0.83083471306839
pm5,ca1,0.830733643737146
pcd,ve3,0.830687264415249
ve3,pcd,0.830687264415247
sc3,fra,0.830582673022693
fra,sc3,0.830582673022683
ve1,rup,0.830327678148521
rup,ve1,0.830327678148516
pm3,ruq,0.830284863948205
ruq,pm3,0.830284863948205
fra,ca5,0.830154386784338
ca5,fra,0.830154386784334
pm3,win,0.829938578913381
win,pm3,0.82993857891338
fra,ca4,0.829602198116336
ca4,fra,0.829602198116333
fro,lm1,0.829397492804397
lm1,fro,0.829397492804395
fra,fur,0.829322492778544
fur,fra,0.829322492778541
ruq,ro1,0.829107565396608
ro1,ruq,0.829107565396606
ll1,ron,0.829089205723403
ron,ll1,0.829089205723403
ve2,pr2,0.8288390846099
pr2,ve2,0.828839084609896
eg2,rup,0.828576748709313
rup,eg2,0.828576748709311
ca2,fra,0.828175199987439
fra,ca2,0.828175199987436
ruq,itf,0.828053268877319
itf,ruq,0.828053268877315
