L1,L2,Score
eg1,fra,2.31385973351116
ron,ca1,2.32173880173662
ca1,ron,2.32173880173662
ro2,por,2.32881875720951
por,ro2,2.32881875720951
rup,glg,2.32973618067338
glg,rup,2.32973618067338
glg,fra,2.33420594543865
fra,glg,2.33420594543865
ruq,eg3,2.33614881343193
eg3,ruq,2.33614881343193
qbb,fur,2.33624437782832
fur,qbb,2.33624437782832
ruq,nea,2.33718725394168
nea,ruq,2.33718725394168
ron,ll2,2.3378379157161
ll2,ron,2.3378379157161
ro2,lat,2.3442096474555
lat,ro2,2.3442096474555
lm2,fra,2.34622806347541
fra,lm2,2.34622806347541
pcd,eg4,2.35014704811896
eg4,pcd,2.35014704811896
sc4,fro,2.35218412341576
fro,sc4,2.35218412341576
ron,ast,2.35252386966414
ast,ron,2.35252386966414
ruq,ro4,2.3568105514869
ro4,ruq,2.3568105514869
sro,dlm,2.35997705546697
dlm,sro,2.35997705546697
sc4,ca3,2.3604013790841
ca3,sc4,2.3604013790841
itf,fro,2.36219851078174
fro,itf,2.36219851078174
rup,li2,2.3692814448591
li2,rup,2.3692814448591
ron,ca5,2.374822819561
ca5,ron,2.374822819561
sc1,ron,2.38269173342994
ron,sc1,2.38269173342994
pcd,eg3,2.38391949904853
eg3,pcd,2.38391949904853
sc3,pr2,2.38713615898107
pr2,sc3,2.38713615898107
fra,ca3,2.38976693691571
ca3,fra,2.38976693691571
sc1,ro3,2.3897969365936
ro3,sc1,2.3897969365936
spa,ron,2.39106762256722
ron,spa,2.39106762256722
ron,pr1,2.39777152989683
pr1,ron,2.39777152989683
qbb,eg1,2.40433055855962
eg1,qbb,2.40433055855962
sro,lm2,2.40808747086604
lm2,sro,2.40808747086604
pr2,ll2,2.41071068964835
ll2,pr2,2.41071068964835
ro4,lat,2.41519210062183
lat,ro4,2.41519210062183
fra,ca5,2.42145667597572
ca5,fra,2.42145667597572
qbb,pm4,2.42292987943213
pm4,qbb,2.42292987943213
sc2,rup,2.42349923066165
rup,sc2,2.42349923066165
ron,lat,2.43701895250691
lat,ron,2.43701895250691
sc1,fro,2.43899303541478
fro,sc1,2.43899303541478
fra,ca4,2.43947438792624
ca4,fra,2.43947438792624
por,pm4,2.44038110822918
pm4,por,2.44038110822918
ve1,fra,2.44749489058491
fra,ve1,2.44749489058491
src,ro3,2.45619926696106
ro3,src,2.45619926696106
qbb,nea,2.45630192999088
nea,qbb,2.45630192999088
ron,ca6,2.46428228953453
ca6,ron,2.46428228953453
ro1,lat,2.47224429919961
lat,ro1,2.47224429919961
pm3,lat,2.47434858139572
lat,pm3,2.47434858139572
pr2,ast,2.47553448730359
ast,pr2,2.47553448730359
ro2,fra,2.47596768150414
fra,ro2,2.47596768150414
ron,ca4,2.47791535870265
ca4,ron,2.47791535870265
ro4,pr2,2.49175202898038
pr2,ro4,2.49175202898038
pr2,li2,2.49785101477779
li2,pr2,2.49785101477779
spa,ro1,2.50052307612744
ro1,spa,2.50052307612744
fra,eg4,2.50635504567894
eg4,fra,2.50635504567894
por,lm2,2.50643821816264
lm2,por,2.50643821816264
dlm,ca1,2.50674662549314
ca1,dlm,2.50674662549314
pr2,ll1,2.51342307325751
ll1,pr2,2.51342307325751
src,rup,2.51927102332129
rup,src,2.51927102332129
ron,pm3,2.52885894114018
pm3,ron,2.52885894114018
sc3,rup,2.52913838675431
rup,sc3,2.52913838675431
por,fur,2.52915896225524
fur,por,2.52915896225524
